model,dimension,property,seed,difficulty_ontrain,difficulty_ontest,mse_test
naivesafe,"(2, 2)","(994, 863)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(994, 863)",0,0.0,0.0,0.025902739093860924
naivesafe,"(2, 2)","(590, 459)",0,0.0,0.0,0.027059300201334575
naivesafe,"(2, 2)","(33, 459)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(33, 459)",0,0.0,0.0,0.027059300201334575
naivesafe,"(2, 2)","(590, 459)",1,0.0,0.0,0.38099796431355426
smle,"(2, 2)","(590, 863)",1,0.0,0.0,0.18605099279123907
smle,"(2, 2)","(33, 994)",1,0.0,0.0,0.07888926378564097
smle,"(2, 2)","(33, 994)",0,0.0,0.0,0.07726730175976343
smle,"(2, 2)","(590, 863)",0,0.0,0.0,0.22957843059179417
smle,"(2, 2)","(487, 863)",1,0.0,0.0,0.4075256787534118
smle,"(2, 2)","(33, 459)",1,0.0,0.0,0.1057167622920318
smle,"(2, 2)","(33, 459)",0,0.0,0.0,0.05533563892295776
smle,"(2, 2)","(487, 863)",0,0.0,0.0,0.3671298062627326
naivesafe,"(2, 2)","(33, 994)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(33, 994)",0,0.0,0.0,0.027059300201334575
naivesafe,"(2, 2)","(33, 863)",0,0.0,0.0,0.027059300201334575
naivesafe,"(2, 2)","(33, 922)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(590, 863)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(590, 863)",0,0.0,0.0,0.02620525448580109
naivesafe,"(2, 2)","(33, 922)",0,0.0,0.0,0.027059300201334575
naivesafe,"(2, 2)","(33, 863)",1,0.0,0.0,0.38099796431355426
unsafe,"(2, 2)","(-1, -1)",0,0.0,0.0,0.027059299978280136
unsafe,"(2, 2)","(-1, -1)",1,0.0,0.0,0.3809979646042555
smle,"(2, 2)","(590, 459)",0,0.0,0.0,0.09728435642733657
smle,"(2, 2)","(590, 459)",1,0.0,0.0,0.16143380856523623
smle,"(2, 2)","(994, 863)",1,0.0,0.0,0.22229573694556165
smle,"(2, 2)","(994, 863)",0,0.0,0.0,0.2542535081197651
smle,"(2, 2)","(33, 863)",0,0.0,0.0,0.0879952069810892
smle,"(2, 2)","(33, 922)",1,0.0,0.0,0.10148124773722375
smle,"(2, 2)","(33, 922)",0,0.0,0.0,0.05152026242674774
smle,"(2, 2)","(33, 863)",1,0.0,0.0,0.057317031522419244
naivesafe,"(2, 2)","(487, 863)",1,0.0,0.0,0.38099796431355426
naivesafe,"(2, 2)","(487, 863)",0,0.0,0.0,0.025902739093860924
smle,"(2, 2)","(994, 459)",0,0.07,0.07,0.29147510321387593
smle,"(2, 2)","(994, 459)",1,0.07,0.07,0.2661498137989793
naivesafe,"(2, 2)","(487, 459)",0,0.07,0.07,0.04338199367816055
naivesafe,"(2, 2)","(487, 459)",1,0.07,0.07,0.39537438471240943
naivesafe,"(2, 2)","(994, 459)",0,0.07,0.07,0.04338199367816055
naivesafe,"(2, 2)","(994, 459)",1,0.07,0.07,0.39537438471240943
smle,"(2, 2)","(487, 459)",0,0.07,0.07,0.300230817626964
smle,"(2, 2)","(487, 459)",1,0.07,0.07,0.32676106449058656
naivesafe,"(2, 2)","(590, 994)",0,0.18,0.2,0.1404518352867147
naivesafe,"(2, 2)","(590, 994)",1,0.18,0.2,0.3807927744350943
smle,"(2, 2)","(590, 994)",0,0.18,0.2,0.21525100949091558
smle,"(2, 2)","(590, 994)",1,0.18,0.2,0.3406669208765174
smle,"(2, 2)","(994, 994)",0,0.31,0.32,0.5161188299159075
smle,"(2, 2)","(994, 994)",1,0.31,0.32,0.47339904773407987
naivesafe,"(2, 2)","(994, 994)",0,0.31,0.32,0.17618143108764542
naivesafe,"(2, 2)","(994, 994)",1,0.31,0.32,0.5003301675986537
naivesafe,"(2, 2)","(487, 994)",0,0.39,0.4,0.3271149478074933
naivesafe,"(2, 2)","(487, 994)",1,0.39,0.4,0.5003301675986537
smle,"(2, 2)","(487, 994)",0,0.39,0.4,0.5837855819119135
smle,"(2, 2)","(487, 994)",1,0.39,0.4,0.5698584762365128
smle,"(2, 2)","(590, 922)",0,0.54,0.57,3.9635879232016187
smle,"(2, 2)","(590, 922)",1,0.54,0.57,3.8030534905892557
naivesafe,"(2, 2)","(590, 922)",0,0.54,0.57,3.734654728748378
naivesafe,"(2, 2)","(590, 922)",1,0.54,0.57,3.855685405999042
naivesafe,"(2, 2)","(994, 922)",0,0.85,0.86,6.515654593855305
naivesafe,"(2, 2)","(994, 922)",1,0.85,0.86,6.722167552189676
smle,"(2, 2)","(994, 922)",0,0.85,0.86,6.885858223388524
smle,"(2, 2)","(994, 922)",1,0.85,0.86,6.621329765810902
smle,"(2, 2)","(487, 922)",0,1.0,1.0,7.15850922295515
smle,"(2, 2)","(487, 922)",1,1.0,1.0,7.169281301301498
naivesafe,"(2, 2)","(487, 922)",0,1.0,1.0,7.145182362281343
naivesafe,"(2, 2)","(487, 922)",1,1.0,1.0,7.145182362281343
naivesafe,"(2, 4)","(33, 743)",0,0.0,0.0,0.04338224224084264
naivesafe,"(2, 4)","(33, 743)",1,0.0,0.0,0.367897455239532
smle,"(2, 4)","(33, 743)",0,0.0,0.0,0.11729171067978819
smle,"(2, 4)","(33, 743)",1,0.0,0.0,0.06138983973680301
smle,"(2, 4)","(33, 138)",0,0.0,0.0,0.0929946912676154
smle,"(2, 4)","(33, 138)",1,0.0,0.0,0.1474111401947788
smle,"(2, 4)","(33, 510)",1,0.0,0.0,0.07581150933961865
smle,"(2, 4)","(33, 510)",0,0.0,0.0,0.053194764560513315
smle,"(2, 4)","(33, 980)",0,0.0,0.0,0.06366447694097814
unsafe,"(2, 4)","(-1, -1)",0,0.0,0.0,0.04338224224084264
unsafe,"(2, 4)","(-1, -1)",1,0.0,0.0,0.367897455239532
smle,"(2, 4)","(33, 980)",1,0.0,0.0,0.08427738568242138
naivesafe,"(2, 4)","(33, 138)",0,0.0,0.0,0.04338224224084264
naivesafe,"(2, 4)","(33, 138)",1,0.0,0.0,0.367897455239532
naivesafe,"(2, 4)","(33, 980)",0,0.0,0.0,0.04338224224084264
naivesafe,"(2, 4)","(33, 980)",1,0.0,0.0,0.367897455239532
naivesafe,"(2, 4)","(33, 510)",1,0.0,0.0,0.367897455239532
naivesafe,"(2, 4)","(33, 510)",0,0.0,0.0,0.04338224224084264
smle,"(2, 4)","(994, 980)",0,0.01,0.01,0.7379714858195654
smle,"(2, 4)","(994, 980)",1,0.01,0.01,0.7225365138670766
naivesafe,"(2, 4)","(994, 980)",0,0.01,0.01,0.04262375890192246
naivesafe,"(2, 4)","(994, 980)",1,0.01,0.01,0.3637313302772516
naivesafe,"(2, 4)","(590, 980)",0,0.06,0.06,0.055935558574010745
naivesafe,"(2, 4)","(590, 980)",1,0.06,0.06,0.374287390974289
smle,"(2, 4)","(590, 980)",0,0.06,0.06,0.4779849864251815
smle,"(2, 4)","(590, 980)",1,0.06,0.06,0.4297406267619616
naivesafe,"(2, 4)","(487, 980)",0,0.07,0.08,0.07087308721227044
naivesafe,"(2, 4)","(487, 980)",1,0.07,0.08,0.3910259589795606
smle,"(2, 4)","(487, 980)",0,0.07,0.08,1.417008322607353
smle,"(2, 4)","(487, 980)",1,0.07,0.08,1.4600340174799005
smle,"(2, 4)","(994, 138)",0,0.21,0.23,0.7789091872289118
smle,"(2, 4)","(994, 138)",1,0.21,0.23,0.7008475646603812
naivesafe,"(2, 4)","(590, 138)",0,0.21,0.23,0.6171233485093106
naivesafe,"(2, 4)","(590, 138)",1,0.21,0.23,0.9232904843089369
smle,"(2, 4)","(590, 138)",0,0.21,0.23,0.8285616853646876
smle,"(2, 4)","(590, 138)",1,0.21,0.23,0.8462437076751644
naivesafe,"(2, 4)","(994, 138)",0,0.21,0.23,0.14916099729785434
naivesafe,"(2, 4)","(994, 138)",1,0.21,0.23,0.4491874826167286
naivesafe,"(2, 4)","(487, 138)",0,0.29,0.32,1.058992918725896
naivesafe,"(2, 4)","(487, 138)",1,0.29,0.32,1.3061404200105065
smle,"(2, 4)","(487, 138)",0,0.29,0.32,1.9784353548461857
smle,"(2, 4)","(487, 138)",1,0.29,0.32,1.8891976666478059
smle,"(2, 4)","(590, 743)",0,0.47,0.51,0.7433908578538548
smle,"(2, 4)","(590, 743)",1,0.47,0.51,0.7479574240243532
naivesafe,"(2, 4)","(590, 743)",0,0.47,0.51,0.2593246816754107
naivesafe,"(2, 4)","(590, 743)",1,0.47,0.51,0.5691458309925381
naivesafe,"(2, 4)","(994, 743)",0,0.49,0.52,0.13689744220554403
naivesafe,"(2, 4)","(994, 743)",1,0.49,0.52,0.46214636674685283
smle,"(2, 4)","(994, 743)",0,0.49,0.52,0.8234305998109083
smle,"(2, 4)","(994, 743)",1,0.49,0.52,0.8022970100439528
naivesafe,"(2, 4)","(590, 510)",1,0.54,0.57,1.605572920722159
naivesafe,"(2, 4)","(590, 510)",0,0.54,0.57,1.3091759802868461
smle,"(2, 4)","(590, 510)",1,0.54,0.57,1.4673015172943544
smle,"(2, 4)","(590, 510)",0,0.54,0.57,1.5220872339438536
smle,"(2, 4)","(487, 743)",0,0.63,0.66,1.6819912012452363
smle,"(2, 4)","(487, 743)",1,0.63,0.66,1.6358422353472037
naivesafe,"(2, 4)","(487, 743)",0,0.63,0.66,0.35791585656196245
